Source,Restaurant Name,Author,Rating,Time,Review
Google,Lassiwala Dhaba,Venator's Hub,"Rated 5.0 out of 5,",a year ago,excellent dishes at low price.. best taste .. best lassis ever had..!!! this shop definitely needs more exposure!! hope they keep d price same n future too
Google,Lassiwala Dhaba,Harish Venkatakrishnan,"Rated 5.0 out of 5,",7 months ago,Very very good food. Value for money and i must state that it was a hidden gem which somehow missed me all these days. Quantity is more than sufficient for two people and quality is exemplary.
Google,Lassiwala Dhaba,Rahul Ivy,"Rated 4.0 out of 5,",3 months ago,Could have given 5 stars but reduced because of too much delay in serving the orders
Google,Lassiwala Dhaba,Sridhar Gopu,"Rated 5.0 out of 5,",5 years ago,Whatever you eat the bill never goes above 1000₹ for a group. Good place to hangout. Only disadv is the space. The shop is too small and can have only 5-10 customers at a time.
Google,Lassiwala Dhaba,Síva Baranidharan,"Rated 4.0 out of 5,",3 months ago,Very good and tasty north indian food
Google,Lassiwala Dhaba,Daniel Antony,"Rated 1.0 out of 5,",6 months ago,The restaurant is delaying so much. They have to cancel the order if they can't deliver is stipulated time. I can order somewhere else. Really frustrating. Worst service.
Google,Lassiwala Dhaba,Atrayee Bhattacharya,"Rated 5.0 out of 5,",7 months ago,"Amazing food. After a long time, I could have an authentic dhaba style food at home. A big shoutout to the chef."
Google,Lassiwala Dhaba,Dharshak J.A,"Rated 5.0 out of 5,",4 months ago,Tasty and Satisfied. Thanks for the food and providing on time.
Google,Lassiwala Dhaba,Ramanan GR,"Rated 4.0 out of 5,",a year ago,Decent enough. Could be more hygienic. Don't peep into thier kitchen. Beleive for good and eat the food served on your plates. They are tasty.
Google,Lassiwala Dhaba,subash B,"Rated 5.0 out of 5,",10 months ago,Really a decent one in the surrounding definitely must try. Cost is bit high but dishes will do the justification for it..... I'll definitely recommend this dhaba 💯
Google,Lassiwala Dhaba,Ramanarayanan N V,"Rated 4.0 out of 5,",4 months ago,One of the few true north indian dhaba which is not visibly located
Google,Lassiwala Dhaba,Chakravarthy S,"Rated 2.0 out of 5,",3 years ago,"Used to be good when they were small. Since they moved to a bigger facility, the quality of food has gone below average. The Indian bread items have gone pathetic. I happened to be a regular visitor and kind of staying away from this restaurant now. Bring back that taste what they used to serve a few years ago. Hopeful still."
Google,Lassiwala Dhaba,Ashwanth Ram,"Rated 5.0 out of 5,",a year ago,"Small restaurant but very tasty, Veg food is very good , especially the paneer recipes are excellent, and best restaurant in Santhoshpuram, near sembakkam area which is so much tasty.Cost is little more in swiggy but if you go to the restaurant directly you can enjoy the taste of the Veg dishes and best of all is the : Phulka Roti provided there with Bhindi Sabzi .so enjoy the lassi wala dhaba!!!!!"
Google,Lassiwala Dhaba,hari venkat,"Rated 3.0 out of 5,",a year ago,Iam ordering for first time. Looks like small dhabha but the food is of good quality and taste more like any good local north indian restaurant. Kind of bit made north indian stuff. But there is some effect after sometime . Not sure if any substance like aginamoto is added?
Google,Lassiwala Dhaba,Pradeep s,"Rated 4.0 out of 5,",a year ago,"This place located inside from main road little difficult to found, ordered online veg thali sounds good so went there to taste more veraities but place not open for dine-in only take always allowed."
Google,Lassiwala Dhaba,Karthik J,"Rated 4.0 out of 5,",a year ago,"Food is really good but pls reduce plastic packaging in everything.Also swiggy and zomato shows different items. If one has an item, other doesn't and vice-versa. Pls keep items in sync in both apps."
Google,Lassiwala Dhaba,Game A/C,"Rated 4.0 out of 5,",2 months ago,Butter Naans and Butter chicken very tasty
Google,Lassiwala Dhaba,Naveen Chand,"Rated 3.0 out of 5,",a year ago,Went for order and pick up for lunch. waiting area was full of mosquitoes. No place to sit. Saw couple of dogs roaming about. Though they had collars I am not comfortable about them moving about in the dining and waiting areas.
Google,Lassiwala Dhaba,Siddharth Nagarajan,"Rated 5.0 out of 5,",4 years ago,"It is a small shop mostly known for takeaway comprising of lip-smacking North Indian dishes and delicious Lassi. The menu varies everyday with each day owning its own specialty. The price tags for each item on the menu brings althemore delight to the heart of any person. I would recommend any lover of food to go try, and review and relish each dish. And to all bachelors who are reluctant to cook, this is the right place for you to have a sumptuous meal with a bill that brings smiles."
Google,Lassiwala Dhaba,Sriram S,"Rated 4.0 out of 5,",a year ago,"Went for lunchDecent taste and pricing.No rotis items available for lunch, instead phulka combos are available.Lassi tasted very good ✌🏼"
Google,Lassiwala Dhaba,Nirmal Subash,"Rated 1.0 out of 5,",3 years ago,Bought chicken 65 in this lassiwala.. They gave me a pack which was sealed with swiggy logo and the best thing was the chicken was already spoiled! It had an foul smell and sour taste to it. Worst  ever experience! Never go for this restaurant!
Google,Lassiwala Dhaba,BHARATH.M,"Rated 1.0 out of 5,",a year ago,Worst shop don't order anything by zomato in this restaurant all are rotten only i ordered chicken rice and chicken manchurian once i ate till that night some vomiting sensation came i drunk some water then suddenly vomited i complain and ask money return they not provide
Google,Lassiwala Dhaba,Shwetha Rajeshmuthu Kavitha,"Rated 1.0 out of 5,",a year ago,Ordered on swiggy. Items say one thing but never got all stuff I order. I personally did not like the taste either.
Google,Lassiwala Dhaba,Happy Chauhan,"Rated 5.0 out of 5,",2 years ago,"Best North indian restaurant,I always visit during my trip.I recommend once everyone should visit and taste the delicacies of different flavors."
