Source,Restaurant Name,Author,Rating,Time,Review
Google,Lassiwala Dhaba,S.Venkata Subramaniam,"Rated 5.0 out of 5,",a year ago,
Google,Lassiwala Dhaba,Sankar Ji,"Rated 2.0 out of 5,",4 years ago,
Google,Lassiwala Dhaba,Mukesh Shing,"Rated 5.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,steephanjeyaraj s,"Rated 3.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,Sam Manoj Paul,"Rated 4.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,SACHIN S,"Rated 4.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,Nageswaran Sekar,"Rated 1.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,Purushoth Ganasan,"Rated 1.0 out of 5,",4 years ago,
Google,Lassiwala Dhaba,Arun Rajput,"Rated 3.0 out of 5,",4 years ago,
Google,Lassiwala Dhaba,Hariharan,"Rated 5.0 out of 5,",2 years ago,
Google,Lassiwala Dhaba,Deepa Balasubramanian,"Rated 4.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,Lokesh R,"Rated 2.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,Rohini Chandra,"Rated 4.0 out of 5,",a year ago,
Google,Lassiwala Dhaba,satheeshkumar rathinavel,"Rated 5.0 out of 5,",2 years ago,
Google,Lassiwala Dhaba,J. Easter Prince,"Rated 5.0 out of 5,",a year ago,
Google,Lassiwala Dhaba,gowtham balaji,"Rated 4.0 out of 5,",4 years ago,
Google,Lassiwala Dhaba,Alen Godwin,"Rated 4.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,jaf,"Rated 3.0 out of 5,",2 years ago,
Google,Lassiwala Dhaba,Naadodi Arun,"Rated 5.0 out of 5,",8 months ago,
Google,Lassiwala Dhaba,Manoj Reddy,"Rated 5.0 out of 5,",4 years ago,
Google,Lassiwala Dhaba,Vikranth Basker,"Rated 4.0 out of 5,",4 years ago,
Google,Lassiwala Dhaba,Shachin Shibi,"Rated 5.0 out of 5,",4 years ago,
Google,Lassiwala Dhaba,Priyanka PK,"Rated 4.0 out of 5,",5 months ago,
Google,Lassiwala Dhaba,Manoj Abi 25,"Rated 5.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,mani kandan,"Rated 4.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,anusha c,"Rated 5.0 out of 5,",6 months ago,
Google,Lassiwala Dhaba,Dalvir Kaur,"Rated 5.0 out of 5,",6 months ago,
Google,Lassiwala Dhaba,Ram N.V,"Rated 5.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,Kamaraj Mani,"Rated 5.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,Mohan kasiviswanathan,"Rated 5.0 out of 5,",a year ago,
Google,Lassiwala Dhaba,Rajeev Lassiwala,"Rated 5.0 out of 5,",a year ago,
Google,Lassiwala Dhaba,Karthik Balu,"Rated 5.0 out of 5,",4 years ago,
Google,Lassiwala Dhaba,Sneh Verma,"Rated 5.0 out of 5,",5 months ago,
Google,Lassiwala Dhaba,Petchiammal K,"Rated 4.0 out of 5,",4 years ago,
Google,Lassiwala Dhaba,Chaitanya Shandilya,"Rated 3.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,Varun Vishan,"Rated 5.0 out of 5,",2 years ago,
Google,Lassiwala Dhaba,Joel Jimmy,"Rated 5.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,kavi krish,"Rated 4.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,Joses Paul,"Rated 4.0 out of 5,",4 years ago,
Google,Lassiwala Dhaba,Karthick KN,"Rated 5.0 out of 5,",6 years ago,
Google,Lassiwala Dhaba,Prabhu Nirish,"Rated 5.0 out of 5,",a year ago,
Google,Lassiwala Dhaba,Thiyagaraj Loganathan,"Rated 4.0 out of 5,",4 years ago,
Google,Lassiwala Dhaba,Karthikeyan Selvaraj,"Rated 5.0 out of 5,",a year ago,
Google,Lassiwala Dhaba,VISNUKANTH PRABHAKARAN,"Rated 3.0 out of 5,",2 years ago,
Google,Lassiwala Dhaba,RKPA Exclusive HD,"Rated 5.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,manikandan mani,"Rated 5.0 out of 5,",a year ago,
Google,Lassiwala Dhaba,Anush Maruthappan,"Rated 4.0 out of 5,",2 years ago,
Google,Lassiwala Dhaba,Dharni Raj,"Rated 5.0 out of 5,",a year ago,
Google,Lassiwala Dhaba,Vigneshwara K,"Rated 5.0 out of 5,",a year ago,
Google,Lassiwala Dhaba,Rajesh Kumar,"Rated 4.0 out of 5,",4 years ago,
Google,Lassiwala Dhaba,essrom caleb,"Rated 5.0 out of 5,",a year ago,
Google,Lassiwala Dhaba,Chakradhar Tiu,"Rated 5.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,Sayee raman,"Rated 5.0 out of 5,",a year ago,
Google,Lassiwala Dhaba,Shyni Mol,"Rated 5.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,anuj bhat b,"Rated 3.0 out of 5,",4 years ago,
Google,Lassiwala Dhaba,Suban J,"Rated 1.0 out of 5,",9 months ago,
Google,Lassiwala Dhaba,Rajiv Raj,"Rated 5.0 out of 5,",a year ago,
Google,Lassiwala Dhaba,MOHD ÀFREED,"Rated 5.0 out of 5,",a year ago,
Google,Lassiwala Dhaba,Firoz Khan,"Rated 1.0 out of 5,",4 years ago,
Google,Lassiwala Dhaba,RAJESH M,"Rated 3.0 out of 5,",4 years ago,
Google,Lassiwala Dhaba,Viji Vijayakumar,"Rated 5.0 out of 5,",a month ago,
Google,Lassiwala Dhaba,Devanand R,"Rated 4.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,sivanandam rajavelu,"Rated 1.0 out of 5,",2 years ago,
Google,Lassiwala Dhaba,Ananda Kumar S,"Rated 3.0 out of 5,",4 years ago,
Google,Lassiwala Dhaba,Mukunthan maddy,"Rated 4.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,Haripriyan Vijayakumar,"Rated 4.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,Aswin S,"Rated 3.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,Prasanna Srinivasan,"Rated 3.0 out of 5,",2 years ago,
Google,Lassiwala Dhaba,18RA1013vikas,"Rated 3.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,Souvanik M,"Rated 4.0 out of 5,",2 years ago,
Google,Lassiwala Dhaba,Kuni MAHAPATRA,"Rated 1.0 out of 5,",10 months ago,
Google,Lassiwala Dhaba,Martin,"Rated 4.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,Harshvardhan Roy,"Rated 4.0 out of 5,",2 months ago,
Google,Lassiwala Dhaba,வெற்றி தமிழன்,"Rated 5.0 out of 5,",a year ago,
Google,Lassiwala Dhaba,Prabhu kiran,"Rated 5.0 out of 5,",2 years ago,
Google,Lassiwala Dhaba,Abdul Kadhar,"Rated 4.0 out of 5,",a year ago,
Google,Lassiwala Dhaba,Gowtham,"Rated 3.0 out of 5,",2 years ago,
Google,Lassiwala Dhaba,Ashwin kumar,"Rated 5.0 out of 5,",a year ago,
Google,Lassiwala Dhaba,gorley,"Rated 5.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,Vijesh kumar,"Rated 4.0 out of 5,",2 years ago,
Google,Lassiwala Dhaba,karthick karthick,"Rated 3.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,Eenum Oonum,"Rated 5.0 out of 5,",4 years ago,
Google,Lassiwala Dhaba,Anand Divya,"Rated 1.0 out of 5,",4 years ago,
Google,Lassiwala Dhaba,baskar selvan R,"Rated 4.0 out of 5,",2 years ago,
Google,Lassiwala Dhaba,Prabhash Jha,"Rated 5.0 out of 5,",5 years ago,
Google,Lassiwala Dhaba,Gursheel Sahni,"Rated 3.0 out of 5,",6 years ago,
Google,Lassiwala Dhaba,Shakthi Selva,"Rated 3.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,Devavarni Venkatesan,"Rated 3.0 out of 5,",4 years ago,
Google,Lassiwala Dhaba,Aravind Lee,"Rated 4.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,Padma Kumar,"Rated 2.0 out of 5,",2 years ago,
Google,Lassiwala Dhaba,Madhan Yadav,"Rated 5.0 out of 5,",2 years ago,
Google,Lassiwala Dhaba,Arthy M,"Rated 5.0 out of 5,",a year ago,
Google,Lassiwala Dhaba,suryakiran S,"Rated 5.0 out of 5,",3 years ago,
Google,Lassiwala Dhaba,JOSHUA N,"Rated 3.0 out of 5,",a year ago,
Google,Lassiwala Dhaba,Vivek Sudha,"Rated 5.0 out of 5,",5 months ago,
Google,Lassiwala Dhaba,Dhivyashree Mohankumar,"Rated 4.0 out of 5,",10 months ago,
